Player,Time,ACS,Kills,Death,Assists,Kills - Death,ADR,First Kill,First Death,First Kill - First Death,HS%,Adversário,Mapa,Mapa Pick,Lado de Início,Data,Rounds Vencidos,Rounds Perdidos,Astra,Breach,Brimstone,Cypher,Jett,Kay/O,Killjoy,Omen,Phoenix,Raze,Reyna,Sage,Skye,Sova,Viper,Yoru,Etapa,Campeonato,Bracket,MD
jubs,DALE GIRLS,192,9,12,6,-3,1749,2,1,1,21%,Valkirias eSports,Icebox,Null,Ataque,03/06/2021,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Daiyana,DALE GIRLS,180,7,13,7,-6,1161,0,0,0,24%,Valkirias eSports,Icebox,Null,Ataque,03/06/2021,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Yasgmin,DALE GIRLS,172,10,13,1,-3,784,1,2,-1,20%,Valkirias eSports,Icebox,Null,Ataque,03/06/2021,2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Fer,DALE GIRLS,163,7,15,3,-8,1021,2,4,-2,16%,Valkirias eSports,Icebox,Null,Ataque,03/06/2021,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Misty,Valkirias eSports,256,20,20,7,0,1630,4,7,-3,37%,DALE GIRLS,Haven,Null,Defesa,03/06/2021,11,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
GabiT,Valkirias eSports,249,21,21,7,0,1513,2,1,1,33%,DALE GIRLS,Haven,Null,Defesa,03/06/2021,11,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
lya,Valkirias eSports,211,17,19,4,-2,1166,1,4,-3,16%,DALE GIRLS,Haven,Null,Defesa,03/06/2021,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
ScherBi,Valkirias eSports,199,14,18,7,-4,1306,1,3,-2,15%,DALE GIRLS,Haven,Null,Defesa,03/06/2021,11,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
BOWIE,Valkirias eSports,172,14,20,7,-6,1075,1,0,1,28%,DALE GIRLS,Haven,Null,Defesa,03/06/2021,11,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Fer,DALE GIRLS,281,24,20,6,4,1767,4,2,2,19%,Valkirias eSports,Haven,Null,Ataque,03/06/2021,13,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Yasgmin,DALE GIRLS,265,23,15,5,8,1653,2,1,1,19%,Valkirias eSports,Haven,Null,Ataque,03/06/2021,13,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
jubs,DALE GIRLS,222,20,16,11,4,1293,2,0,2,23%,Valkirias eSports,Haven,Null,Ataque,03/06/2021,13,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
juji,DALE GIRLS,209,17,16,12,1,1406,4,3,1,24%,Valkirias eSports,Haven,Null,Ataque,03/06/2021,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Daiyana,DALE GIRLS,160,14,19,6,-5,1001,3,3,0,14%,Valkirias eSports,Haven,Null,Ataque,03/06/2021,13,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
isa1,Havan Liberty Female,328,20,13,10,7,2026,3,1,2,18%,Inflames Ártemis,Haven,Null,Defesa,03/06/2021,13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
let,Havan Liberty Female,241,14,10,3,4,1273,5,4,1,38%,Inflames Ártemis,Haven,Null,Defesa,03/06/2021,13,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
sayuri,Havan Liberty Female,238,16,8,8,8,1557,0,0,0,14%,Inflames Ártemis,Haven,Null,Defesa,03/06/2021,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
blu,Havan Liberty Female,225,14,8,4,6,1268,2,1,1,16%,Inflames Ártemis,Haven,Null,Defesa,03/06/2021,13,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
mittens,Havan Liberty Female,157,10,9,5,1,988,1,0,1,30%,Inflames Ártemis,Haven,Null,Defesa,03/06/2021,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
campolina,Inflames Ártemis,205,12,15,2,-3,1241,2,1,1,29%,Havan Liberty Female,Haven,Null,Ataque,03/06/2021,4,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Kah,Inflames Ártemis,201,11,14,2,-3,1739,0,0,0,16%,Havan Liberty Female,Haven,Null,Ataque,03/06/2021,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Velvet,Inflames Ártemis,189,10,16,3,-6,968,3,5,-2,12%,Havan Liberty Female,Haven,Null,Ataque,03/06/2021,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Joojina,Inflames Ártemis,136,8,15,1,-7,805,1,4,-3,33%,Havan Liberty Female,Haven,Null,Ataque,03/06/2021,4,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Minia,Inflames Ártemis,131,7,14,4,-7,1456,0,1,-1,22%,Havan Liberty Female,Haven,Null,Ataque,03/06/2021,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
let,Havan Liberty Female,351,24,12,5,12,2033,5,1,4,24%,Inflames Ártemis,Split,Null,Defesa,03/06/2021,13,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
sayuri,Havan Liberty Female,285,20,11,14,9,1592,0,0,0,14%,Inflames Ártemis,Split,Null,Defesa,03/06/2021,13,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
isa1,Havan Liberty Female,277,20,14,3,6,1758,1,4,-3,14%,Inflames Ártemis,Split,Null,Defesa,03/06/2021,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
blu,Havan Liberty Female,222,15,15,5,0,1395,3,0,3,9%,Inflames Ártemis,Split,Null,Defesa,03/06/2021,13,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
mittens,Havan Liberty Female,102,6,14,5,-8,694,2,4,-2,26%,Inflames Ártemis,Split,Null,Defesa,03/06/2021,13,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Kah,Inflames Ártemis,251,19,17,4,2,1316,1,1,0,20%,Havan Liberty Female,Split,Null,Ataque,03/06/2021,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Joojina,Inflames Ártemis,207,14,16,5,-2,1287,2,6,-4,13%,Havan Liberty Female,Split,Null,Ataque,03/06/2021,7,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Velvet,Inflames Ártemis,197,12,19,3,-7,1204,3,1,2,12%,Havan Liberty Female,Split,Null,Ataque,03/06/2021,7,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
campolina,Inflames Ártemis,183,12,16,5,-4,1187,1,2,-1,13%,Havan Liberty Female,Split,Null,Ataque,03/06/2021,7,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Minia,Inflames Ártemis,131,9,17,6,-8,665,2,1,1,28%,Havan Liberty Female,Split,Null,Ataque,03/06/2021,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
consu,Stars Horizon Fem,294,25,18,4,7,1667,2,2,0,14%,corsa rebaixado,Ascent,Null,Ataque,03/06/2021,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
hannabacon,Stars Horizon Fem,273,22,13,5,9,1597,5,1,4,21%,corsa rebaixado,Ascent,Null,Ataque,03/06/2021,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
mindle,Stars Horizon Fem,249,19,16,7,3,1665,2,3,-1,25%,corsa rebaixado,Ascent,Null,Ataque,03/06/2021,13,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
BEAR,Stars Horizon Fem,196,16,16,4,0,1098,2,4,-2,20%,corsa rebaixado,Ascent,Null,Ataque,03/06/2021,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Moonnnn,Stars Horizon Fem,178,13,14,10,-1,1029,0,2,-2,23%,corsa rebaixado,Ascent,Null,Ataque,03/06/2021,13,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Kisa,corsa rebaixado,280,24,18,6,6,1577,6,3,3,29%,Stars Horizon Fem,Ascent,Null,Defesa,03/06/2021,10,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
mizi,corsa rebaixado,225,19,16,5,3,1438,1,0,1,18%,Stars Horizon Fem,Ascent,Null,Defesa,03/06/2021,10,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
anAzik,corsa rebaixado,191,14,21,7,-7,1465,3,2,1,20%,Stars Horizon Fem,Ascent,Null,Defesa,03/06/2021,10,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Bia,corsa rebaixado,156,11,19,7,-8,1014,0,3,-3,19%,Stars Horizon Fem,Ascent,Null,Defesa,03/06/2021,10,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
may,corsa rebaixado,138,9,21,10,-12,1026,2,3,-1,26%,Stars Horizon Fem,Ascent,Null,Defesa,03/06/2021,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
mindle,Stars Horizon Fem,286,17,12,8,5,1731,5,0,5,13%,corsa rebaixado,Icebox,Null,Ataque,03/06/2021,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
consu,Stars Horizon Fem,234,16,9,5,7,1458,2,0,2,11%,corsa rebaixado,Icebox,Null,Ataque,03/06/2021,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,Protocolo: Gêneses,Oitavas de Final,3
hannabacon,Stars Horizon Fem,216,15,10,2,5,1301,4,2,2,6%,corsa rebaixado,Icebox,Null,Ataque,03/06/2021,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
BEAR,Stars Horizon Fem,185,11,13,6,-2,1158,0,4,-4,27%,corsa rebaixado,Icebox,Null,Ataque,03/06/2021,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Moonnnn,Stars Horizon Fem,179,11,8,10,3,872,1,0,1,24%,corsa rebaixado,Icebox,Null,Ataque,03/06/2021,13,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Bia,corsa rebaixado,234,14,13,4,1,1527,2,1,1,20%,Stars Horizon Fem,Icebox,Null,Defesa,03/06/2021,5,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
