Player,Time,Região,ACS,Kills,Deaths,Assists,K - D,ADR,First Kill,First Death,FK - FD,HS%,Adversário,Região Adiversário,Mapa,Mapa Pick,Lado de Início,Rounds Vencidos,Rounds Perdidos,Resultado,Rounds Ataque,Rounds Defesa,Agente,Data,Etapa,Grupo,Bracket,MD,Campeonato
gaabxx,YNG Sharks,BR,348,19,8,0,11,"212,5",7,0,7,"0,22",Lazer,LATAM,Ascent,Lazer,Defesa,13,2,Vencedor,3,10,Jett,44480,Grupos,A,Opening,3,LCQ South America
prozin,YNG Sharks,BR,297,15,7,7,8,"198,9",2,0,2,"0,23",Lazer,LATAM,Ascent,Lazer,Defesa,13,2,Vencedor,3,10,Kay/O,44480,Grupos,A,Opening,3,LCQ South America
fra,YNG Sharks,BR,207,13,4,5,9,"136,1",1,0,1,"0,3",Lazer,LATAM,Ascent,Lazer,Defesa,13,2,Vencedor,3,10,Cypher,44480,Grupos,A,Opening,3,LCQ South America
light,YNG Sharks,BR,200,12,7,8,5,"126,9",3,1,2,"0,3",Lazer,LATAM,Ascent,Lazer,Defesa,13,2,Vencedor,3,10,Astra,44480,Grupos,A,Opening,3,LCQ South America
deNaro,YNG Sharks,BR,149,10,5,2,5,"102,7",1,0,1,"0,15",Lazer,LATAM,Ascent,Lazer,Defesa,13,2,Vencedor,3,10,Sova,44480,Grupos,A,Opening,3,LCQ South America
AztKk,Lazer,LATAM,190,8,14,4,-6,"130,1",0,4,-4,"0,28",YNG Sharks,BR,Ascent,Lazer,Ataque,2,13,Perdedor,2,0,Kay/O,44480,Grupos,A,Opening,3,LCQ South America
Wyz,Lazer,LATAM,162,8,13,3,-5,"106,8",1,5,-4,"0,28",YNG Sharks,BR,Ascent,Lazer,Ataque,2,13,Perdedor,2,0,Jett,44480,Grupos,A,Opening,3,LCQ South America
Caz,Lazer,LATAM,159,8,15,1,-7,"95,4",0,1,-1,"0,22",YNG Sharks,BR,Ascent,Lazer,Ataque,2,13,Perdedor,2,0,Sova,44480,Grupos,A,Opening,3,LCQ South America
HellFull,Lazer,LATAM,80,5,13,1,-8,55,0,1,-1,"0,18",YNG Sharks,BR,Ascent,Lazer,Ataque,2,13,Perdedor,2,0,Cypher,44480,Grupos,A,Opening,3,LCQ South America
akemy,Lazer,LATAM,62,2,14,2,-12,"58,7",0,3,-3,"0,11",YNG Sharks,BR,Ascent,Lazer,Ataque,2,13,Perdedor,2,0,Astra,44480,Grupos,A,Opening,3,LCQ South America
deNaro,YNG Sharks,BR,294,22,7,6,15,"196,9",1,1,0,"0,26",Lazer,LATAM,Haven,YNG Sharks,Defesa,13,5,Vencedor,3,10,Sova,44480,Grupos,A,Opening,3,LCQ South America
gaabxx,YNG Sharks,BR,273,19,9,6,10,"165,8",5,4,1,"0,15",Lazer,LATAM,Haven,YNG Sharks,Defesa,13,5,Vencedor,3,10,Jett,44480,Grupos,A,Opening,3,LCQ South America
fra,YNG Sharks,BR,199,14,9,2,5,"124,1",2,0,2,"0,36",Lazer,LATAM,Haven,YNG Sharks,Defesa,13,5,Vencedor,3,10,Cypher,44480,Grupos,A,Opening,3,LCQ South America
light,YNG Sharks,BR,143,9,13,5,-4,"94,2",1,0,1,"0,32",Lazer,LATAM,Haven,YNG Sharks,Defesa,13,5,Vencedor,3,10,Astra,44480,Grupos,A,Opening,3,LCQ South America
prozin,YNG Sharks,BR,139,6,12,8,-6,"104,6",2,2,0,"0,1",Lazer,LATAM,Haven,YNG Sharks,Defesa,13,5,Vencedor,3,10,Phoenix,44480,Grupos,A,Opening,3,LCQ South America
Caz,Lazer,LATAM,191,12,13,5,-1,"132,7",2,0,2,"0,25",YNG Sharks,BR,Haven,YNG Sharks,Ataque,5,13,Perdedor,2,3,Sova,44480,Grupos,A,Opening,3,LCQ South America
HellFull,Lazer,LATAM,190,12,13,2,-1,"120,2",1,4,-3,"0,34",YNG Sharks,BR,Haven,YNG Sharks,Ataque,5,13,Perdedor,2,3,Cypher,44480,Grupos,A,Opening,3,LCQ South America
AztKk,Lazer,LATAM,185,10,17,5,-7,"119,9",3,3,0,"0,09",YNG Sharks,BR,Haven,YNG Sharks,Ataque,5,13,Perdedor,2,3,Kay/O,44480,Grupos,A,Opening,3,LCQ South America
Wyz,Lazer,LATAM,184,12,14,2,-2,"124,3",1,3,-2,"0,29",YNG Sharks,BR,Haven,YNG Sharks,Ataque,5,13,Perdedor,2,3,Jett,44480,Grupos,A,Opening,3,LCQ South America
akemy,Lazer,LATAM,85,4,13,6,-9,"68,1",0,1,-1,"0,19",YNG Sharks,BR,Haven,YNG Sharks,Ataque,5,13,Perdedor,2,3,Astra,44480,Grupos,A,Opening,3,LCQ South America
kiNgg,Australs,LATAM,357,27,13,7,14,"200,4",6,3,3,"0,22",FURIA,BR,Split,Australs,Ataque,13,8,Vencedor,9,4,Raze,44480,Grupos,A,Opening,3,LCQ South America
Melser,Australs,LATAM,202,17,10,6,7,"137,8",1,2,-1,"0,27",FURIA,BR,Split,Australs,Ataque,13,8,Vencedor,9,4,Astra,44480,Grupos,A,Opening,3,LCQ South America
adverso,Australs,LATAM,180,13,12,3,1,"118,2",1,1,0,"0,15",FURIA,BR,Split,Australs,Ataque,13,8,Vencedor,9,4,Reyna,44480,Grupos,A,Opening,3,LCQ South America
Tacolilla,Australs,LATAM,144,10,13,10,-3,"113,2",2,2,0,"0,25",FURIA,BR,Split,Australs,Ataque,13,8,Vencedor,9,4,Sage,44480,Grupos,A,Opening,3,LCQ South America
Capi,Australs,LATAM,137,9,12,3,-3,"89,7",3,0,3,"0,12",FURIA,BR,Split,Australs,Ataque,13,8,Vencedor,9,4,Cypher,44480,Grupos,A,Opening,3,LCQ South America
Quick,FURIA,BR,210,14,17,10,-3,"140,3",2,5,-3,"0,19",Australs,LATAM,Split,Australs,Defesa,8,13,Perdedor,5,3,Viper,44480,Grupos,A,Opening,3,LCQ South America
Khalil,FURIA,BR,190,13,15,4,-2,"197,7",1,1,0,"0,15",Australs,LATAM,Split,Australs,Defesa,8,13,Perdedor,5,3,Killjoy,44480,Grupos,A,Opening,3,LCQ South America
xand,FURIA,BR,187,13,17,2,-4,"114,4",4,4,0,"0,19",Australs,LATAM,Split,Australs,Defesa,8,13,Perdedor,5,3,Jett,44480,Grupos,A,Opening,3,LCQ South America
Mazin,FURIA,BR,175,13,14,7,-1,"135,2",1,1,0,"0,24",Australs,LATAM,Split,Australs,Defesa,8,13,Perdedor,5,3,Astra,44480,Grupos,A,Opening,3,LCQ South America
Nozwerr,FURIA,BR,102,7,13,3,-6,"67,5",0,2,-2,"0,09",Australs,LATAM,Split,Australs,Defesa,8,13,Perdedor,5,3,Skye,44480,Grupos,A,Opening,3,LCQ South America
Tacolilla,Australs,LATAM,325,28,14,5,14,"201,3",5,3,2,"0,22",FURIA,BR,Haven,FURIA,Ataque,10,13,Perdedor,8,2,Jett,44480,Grupos,A,Opening,3,LCQ South America
Melser,Australs,LATAM,211,15,16,9,-1,"189,3",1,2,-1,"0,35",FURIA,BR,Haven,FURIA,Ataque,10,13,Perdedor,8,2,Astra,44480,Grupos,A,Opening,3,LCQ South America
adverso,Australs,LATAM,190,14,15,8,-1,"138,2",2,2,0,"0,3",FURIA,BR,Haven,FURIA,Ataque,10,13,Perdedor,8,2,Sova,44480,Grupos,A,Opening,3,LCQ South America
kiNgg,Australs,LATAM,135,11,14,7,-3,"132,2",2,3,-1,"0,22",FURIA,BR,Haven,FURIA,Ataque,10,13,Perdedor,8,2,Omen,44480,Grupos,A,Opening,3,LCQ South America
Capi,Australs,LATAM,123,9,15,4,-6,"85,2",0,3,-3,"0,23",FURIA,BR,Haven,FURIA,Ataque,10,13,Perdedor,8,2,Cypher,44480,Grupos,A,Opening,3,LCQ South America
Quick,FURIA,BR,235,20,18,4,2,"153,9",2,4,-2,"0,29",Australs,LATAM,Haven,FURIA,Defesa,13,10,Vencedor,4,9,Sage,44480,Grupos,A,Opening,3,LCQ South America
Khalil,FURIA,BR,188,17,14,3,3,114,3,2,1,"0,25",Australs,LATAM,Haven,FURIA,Defesa,13,10,Vencedor,4,9,Killjoy,44480,Grupos,A,Opening,3,LCQ South America
Nozwerr,FURIA,BR,165,12,13,6,-1,"158,5",1,0,1,"0,14",Australs,LATAM,Haven,FURIA,Defesa,13,10,Vencedor,4,9,Sova,44480,Grupos,A,Opening,3,LCQ South America
Mazin,FURIA,BR,157,14,15,12,-1,"100,1",3,1,2,"0,15",Australs,LATAM,Haven,FURIA,Defesa,13,10,Vencedor,4,9,Omen,44480,Grupos,A,Opening,3,LCQ South America
xand,FURIA,BR,150,11,17,4,-6,"142,3",4,3,1,"0,21",Australs,LATAM,Haven,FURIA,Defesa,13,10,Vencedor,4,9,Jett,44480,Grupos,A,Opening,3,LCQ South America
kiNgg,Australs,LATAM,252,23,13,4,10,"145,1",5,2,3,"0,23",FURIA,BR,Ascent,Australs,Ataque,13,9,Vencedor,7,6,Sage,44480,Grupos,A,Opening,3,LCQ South America
Capi,Australs,LATAM,232,16,15,8,1,"153,2",0,2,-2,"0,25",FURIA,BR,Ascent,Australs,Ataque,13,9,Vencedor,7,6,Cypher,44480,Grupos,A,Opening,3,LCQ South America
Melser,Australs,LATAM,213,17,14,14,3,"127,5",1,3,-2,"0,11",FURIA,BR,Ascent,Australs,Ataque,13,9,Vencedor,7,6,Omen,44480,Grupos,A,Opening,3,LCQ South America
adverso,Australs,LATAM,197,15,13,11,2,"190,2",1,3,-2,"0,32",FURIA,BR,Ascent,Australs,Ataque,13,9,Vencedor,7,6,Sova,44480,Grupos,A,Opening,3,LCQ South America
Tacolilla,Australs,LATAM,182,14,17,5,-3,"112,4",2,3,-1,"0,17",FURIA,BR,Ascent,Australs,Ataque,13,9,Vencedor,7,6,Jett,44480,Grupos,A,Opening,3,LCQ South America
Quick,FURIA,BR,226,16,21,14,-5,"150,8",5,2,3,"0,22",Australs,LATAM,Ascent,Australs,Defesa,9,13,Perdedor,4,5,Sage,44480,Grupos,A,Opening,3,LCQ South America
Mazin,FURIA,BR,196,14,18,6,-4,"190,5",4,3,1,"0,4",Australs,LATAM,Ascent,Australs,Defesa,9,13,Perdedor,4,5,Astra,44480,Grupos,A,Opening,3,LCQ South America
Khalil,FURIA,BR,190,15,16,3,-1,"167,4",2,1,1,"0,13",Australs,LATAM,Ascent,Australs,Defesa,9,13,Perdedor,4,5,Killjoy,44480,Grupos,A,Opening,3,LCQ South America
xand,FURIA,BR,181,13,18,4,-5,"206,1",2,2,0,"0,18",Australs,LATAM,Ascent,Australs,Defesa,9,13,Perdedor,4,5,Jett,44480,Grupos,A,Opening,3,LCQ South America
Nozwerr,FURIA,BR,153,14,12,7,2,"229,5",0,1,-1,"0,14",Australs,LATAM,Ascent,Australs,Defesa,9,13,Perdedor,4,5,Sova,44480,Grupos,A,Opening,3,LCQ South America
gaabxx,YNG Sharks,BR,328,30,18,6,12,"220,6",5,5,0,"0,18",Australs,LATAM,Split,Australs,Defesa,14,12,Vencedor,6,8,Reyna,44480,Grupos,A,Winner's,3,LCQ South America
prozin,YNG Sharks,BR,239,20,22,7,-2,"163,2",3,4,-1,"0,16",Australs,LATAM,Split,Australs,Defesa,14,12,Vencedor,6,8,Raze,44480,Grupos,A,Winner's,3,LCQ South America
deNaro,YNG Sharks,BR,186,17,18,12,-1,"123,3",0,3,-3,"0,17",Australs,LATAM,Split,Australs,Defesa,14,12,Vencedor,6,8,Sage,44480,Grupos,A,Winner's,3,LCQ South America
fra,YNG Sharks,BR,172,17,16,6,1,"106,2",0,3,-3,"0,16",Australs,LATAM,Split,Australs,Defesa,14,12,Vencedor,6,8,Cypher,44480,Grupos,A,Winner's,3,LCQ South America
light,YNG Sharks,BR,150,15,17,7,-2,"89,3",1,2,-1,"0,27",Australs,LATAM,Split,Australs,Defesa,14,12,Vencedor,6,8,Astra,44480,Grupos,A,Winner's,3,LCQ South America
kiNgg,Australs,LATAM,391,32,22,11,10,"251,6",6,2,4,"0,25",YNG Sharks,BR,Split,Australs,Ataque,12,14,Perdedor,5,7,Raze,44480,Grupos,A,Winner's,3,LCQ South America
Capi,Australs,LATAM,201,19,17,2,2,"137,6",0,1,-1,"0,23",YNG Sharks,BR,Split,Australs,Ataque,12,14,Perdedor,5,7,Cypher,44480,Grupos,A,Winner's,3,LCQ South America
Tacolilla,Australs,LATAM,173,16,16,15,0,144,2,1,1,"0,24",YNG Sharks,BR,Split,Australs,Ataque,12,14,Perdedor,5,7,Sage,44480,Grupos,A,Winner's,3,LCQ South America
adverso,Australs,LATAM,164,14,23,6,-9,"104,7",6,3,3,"0,25",YNG Sharks,BR,Split,Australs,Ataque,12,14,Perdedor,5,7,Reyna,44480,Grupos,A,Winner's,3,LCQ South America
Melser,Australs,LATAM,144,10,21,8,-11,"106,8",3,2,1,"0,18",YNG Sharks,BR,Split,Australs,Ataque,12,14,Perdedor,5,7,Astra,44480,Grupos,A,Winner's,3,LCQ South America
gaabxx,YNG Sharks,BR,301,24,16,7,8,"198,9",5,5,0,"0,26",Australs,LATAM,Ascent,YNG Sharks,Defesa,11,13,Perdedor,4,7,Jett,44480,Grupos,A,Winner's,3,LCQ South America
prozin,YNG Sharks,BR,261,21,18,13,3,"170,9",4,2,2,"0,23",Australs,LATAM,Ascent,YNG Sharks,Defesa,11,13,Perdedor,4,7,Kay/O,44480,Grupos,A,Winner's,3,LCQ South America
light,YNG Sharks,BR,169,14,17,7,-3,"111,7",3,2,1,"0,25",Australs,LATAM,Ascent,YNG Sharks,Defesa,11,13,Perdedor,4,7,Astra,44480,Grupos,A,Winner's,3,LCQ South America
deNaro,YNG Sharks,BR,165,12,16,9,-4,"117,3",0,0,0,"0,26",Australs,LATAM,Ascent,YNG Sharks,Defesa,11,13,Perdedor,4,7,Sova,44480,Grupos,A,Winner's,3,LCQ South America
fra,YNG Sharks,BR,153,15,15,1,0,"94,9",2,1,1,"0,29",Australs,LATAM,Ascent,YNG Sharks,Defesa,11,13,Perdedor,4,7,Cypher,44480,Grupos,A,Winner's,3,LCQ South America
Melser,Australs,LATAM,257,23,14,8,9,"160,4",4,2,2,"0,31",YNG Sharks,BR,Ascent,YNG Sharks,Ataque,13,11,Vencedor,5,8,Omen,44480,Grupos,A,Winner's,3,LCQ South America
Tacolilla,Australs,LATAM,238,22,15,6,7,"132,4",2,3,-1,"0,25",YNG Sharks,BR,Ascent,YNG Sharks,Ataque,13,11,Vencedor,5,8,Jett,44480,Grupos,A,Winner's,3,LCQ South America
adverso,Australs,LATAM,183,12,19,8,-7,"140,2",1,3,-2,"0,29",YNG Sharks,BR,Ascent,YNG Sharks,Ataque,13,11,Vencedor,5,8,Sova,44480,Grupos,A,Winner's,3,LCQ South America
kiNgg,Australs,LATAM,163,14,18,8,-4,"117,4",2,2,0,"0,21",YNG Sharks,BR,Ascent,YNG Sharks,Ataque,13,11,Vencedor,5,8,Sage,44480,Grupos,A,Winner's,3,LCQ South America
Capi,Australs,LATAM,118,11,20,3,-9,"75,7",1,4,-3,"0,27",YNG Sharks,BR,Ascent,YNG Sharks,Ataque,13,11,Vencedor,5,8,Cypher,44480,Grupos,A,Winner's,3,LCQ South America
gaabxx,YNG Sharks,BR,246,23,18,2,5,"202,7",6,6,0,"0,25",Australs,LATAM,Icebox,Australs,Ataque,12,14,Perdedor,6,6,Jett,44480,Grupos,A,Winner's,3,LCQ South America
prozin,YNG Sharks,BR,230,22,18,4,4,"147,6",3,4,-1,"0,31",Australs,LATAM,Icebox,Australs,Ataque,12,14,Perdedor,6,6,Reyna,44480,Grupos,A,Winner's,3,LCQ South America
light,YNG Sharks,BR,193,16,17,11,-1,"182,5",1,2,-1,"0,32",Australs,LATAM,Icebox,Australs,Ataque,12,14,Perdedor,6,6,Sage,44480,Grupos,A,Winner's,3,LCQ South America
deNaro,YNG Sharks,BR,173,14,18,11,-4,"154,7",0,0,0,"0,14",Australs,LATAM,Icebox,Australs,Ataque,12,14,Perdedor,6,6,Sova,44480,Grupos,A,Winner's,3,LCQ South America
fra,YNG Sharks,BR,141,14,20,4,-6,"83,9",1,3,-2,"0,2",Australs,LATAM,Icebox,Australs,Ataque,12,14,Perdedor,6,6,Viper,44480,Grupos,A,Winner's,3,LCQ South America
Melser,Australs,LATAM,281,27,19,2,8,"224,9",3,1,2,"0,3",YNG Sharks,BR,Icebox,Australs,Defesa,14,12,Vencedor,7,7,Reyna,44480,Grupos,A,Winner's,3,LCQ South America
Capi,Australs,LATAM,187,17,18,9,-1,"133,6",6,2,4,"0,18",YNG Sharks,BR,Icebox,Australs,Defesa,14,12,Vencedor,7,7,Sage,44480,Grupos,A,Winner's,3,LCQ South America
kiNgg,Australs,LATAM,186,17,13,10,4,137,2,3,-1,"0,18",YNG Sharks,BR,Icebox,Australs,Defesa,14,12,Vencedor,7,7,Viper,44480,Grupos,A,Winner's,3,LCQ South America
adverso,Australs,LATAM,183,16,21,5,-5,"117,7",1,2,-1,"0,22",YNG Sharks,BR,Icebox,Australs,Defesa,14,12,Vencedor,7,7,Sova,44480,Grupos,A,Winner's,3,LCQ South America
Tacolilla,Australs,LATAM,174,14,18,5,-4,118,3,3,0,"0,13",YNG Sharks,BR,Icebox,Australs,Defesa,14,12,Vencedor,7,7,Jett,44480,Grupos,A,Winner's,3,LCQ South America
xander,Six Karma,LATAM,337,28,16,6,12,"201,7",6,5,1,"0,19",Gamelanders Blue,BR,Split,Six Karma,Ataque,13,10,Vencedor,8,5,Jett,44481,Grupos,B,Opening,3,LCQ South America
Mited,Six Karma,LATAM,250,19,17,6,2,"161,3",1,2,-1,"0,25",Gamelanders Blue,BR,Split,Six Karma,Ataque,13,10,Vencedor,8,5,Raze,44481,Grupos,B,Opening,3,LCQ South America
BandiCoot,Six Karma,LATAM,220,20,15,6,5,"151,9",2,1,1,"0,31",Gamelanders Blue,BR,Split,Six Karma,Ataque,13,10,Vencedor,8,5,Astra,44481,Grupos,B,Opening,3,LCQ South America
Maka,Six Karma,LATAM,168,12,15,8,-3,"116,2",1,2,-1,"0,07",Gamelanders Blue,BR,Split,Six Karma,Ataque,13,10,Vencedor,8,5,Viper,44481,Grupos,B,Opening,3,LCQ South America
BEAST,Six Karma,LATAM,155,14,17,8,-3,"106,8",0,3,-3,"0,26",Gamelanders Blue,BR,Split,Six Karma,Ataque,13,10,Vencedor,8,5,Sage,44481,Grupos,B,Opening,3,LCQ South America
Jonn,Gamelanders Blue,BR,241,18,20,7,-2,"153,7",7,5,2,"0,25",Six Karma,LATAM,Split,Six Karma,Defesa,10,13,Perdedor,6,4,Jett,44481,Grupos,B,Opening,3,LCQ South America
CTC,Gamelanders Blue,BR,230,19,18,7,1,"148,1",2,2,0,"0,15",Six Karma,LATAM,Split,Six Karma,Defesa,10,13,Perdedor,6,4,Cypher,44481,Grupos,B,Opening,3,LCQ South America
Nyang,Gamelanders Blue,BR,203,15,17,10,-2,"144,5",1,1,0,"0,18",Six Karma,LATAM,Split,Six Karma,Defesa,10,13,Perdedor,6,4,Viper,44481,Grupos,B,Opening,3,LCQ South America
mwzera,Gamelanders Blue,BR,182,16,17,2,-1,"128,3",1,2,-1,"0,16",Six Karma,LATAM,Split,Six Karma,Defesa,10,13,Perdedor,6,4,Skye,44481,Grupos,B,Opening,3,LCQ South America
BELKY,Gamelanders Blue,BR,164,12,21,6,-9,"111,8",2,0,2,"0,1",Six Karma,LATAM,Split,Six Karma,Defesa,10,13,Perdedor,6,4,Astra,44481,Grupos,B,Opening,3,LCQ South America
BEAST,Six Karma,LATAM,210,17,16,7,1,"122,4",2,0,2,"0,21",Gamelanders Blue,BR,Ascent,Gamelanders Blue,Ataque,9,13,Perdedor,3,6,Sova,44481,Grupos,B,Opening,3,LCQ South America
Mited,Six Karma,LATAM,186,15,16,5,-1,"130,9",3,1,2,"0,27",Gamelanders Blue,BR,Ascent,Gamelanders Blue,Ataque,9,13,Perdedor,3,6,Reyna,44481,Grupos,B,Opening,3,LCQ South America
xander,Six Karma,LATAM,183,14,15,6,-1,"109,1",6,6,0,"0,13",Gamelanders Blue,BR,Ascent,Gamelanders Blue,Ataque,9,13,Perdedor,3,6,Jett,44481,Grupos,B,Opening,3,LCQ South America
Maka,Six Karma,LATAM,181,14,18,5,-4,"119,7",1,0,1,"0,21",Gamelanders Blue,BR,Ascent,Gamelanders Blue,Ataque,9,13,Perdedor,3,6,Killjoy,44481,Grupos,B,Opening,3,LCQ South America
BandiCoot,Six Karma,LATAM,155,11,17,8,-6,"115,4",1,2,-1,"0,15",Gamelanders Blue,BR,Ascent,Gamelanders Blue,Ataque,9,13,Perdedor,3,6,Astra,44481,Grupos,B,Opening,3,LCQ South America
Jonn,Gamelanders Blue,BR,307,24,14,7,10,"201,8",6,4,2,"0,25",Six Karma,LATAM,Ascent,Gamelanders Blue,Defesa,13,9,Vencedor,4,9,Jett,44481,Grupos,B,Opening,3,LCQ South America
CTC,Gamelanders Blue,BR,287,23,12,10,11,"185,2",1,1,0,"0,2",Six Karma,LATAM,Ascent,Gamelanders Blue,Defesa,13,9,Vencedor,4,9,Sova,44481,Grupos,B,Opening,3,LCQ South America
mwzera,Gamelanders Blue,BR,184,14,16,5,-2,"116,2",0,2,-2,"0,2",Six Karma,LATAM,Ascent,Gamelanders Blue,Defesa,13,9,Vencedor,4,9,Skye,44481,Grupos,B,Opening,3,LCQ South America
Nyang,Gamelanders Blue,BR,170,11,13,12,-2,"119,5",1,2,-1,"0,18",Six Karma,LATAM,Ascent,Gamelanders Blue,Defesa,13,9,Vencedor,4,9,Kay/O,44481,Grupos,B,Opening,3,LCQ South America
BELKY,Gamelanders Blue,BR,154,10,16,9,-6,"108,5",1,4,-3,"0,1",Six Karma,LATAM,Ascent,Gamelanders Blue,Defesa,13,9,Vencedor,4,9,Astra,44481,Grupos,B,Opening,3,LCQ South America
BandiCoot,Six Karma,LATAM,192,12,13,2,-1,124,1,0,1,"0,42",Gamelanders Blue,BR,Breeze,Six Karma,Defesa,3,13,Perdedor,1,2,Viper,44481,Grupos,B,Opening,3,LCQ South America
BEAST,Six Karma,LATAM,187,12,14,3,-2,"99,8",1,1,0,"0,19",Gamelanders Blue,BR,Breeze,Six Karma,Defesa,3,13,Perdedor,1,2,Sova,44481,Grupos,B,Opening,3,LCQ South America
xander,Six Karma,LATAM,126,4,15,4,-11,"86,6",2,3,-1,"0,15",Gamelanders Blue,BR,Breeze,Six Karma,Defesa,3,13,Perdedor,1,2,Jett,44481,Grupos,B,Opening,3,LCQ South America
Mited,Six Karma,LATAM,115,6,14,3,-8,"73,4",1,2,-1,"0,27",Gamelanders Blue,BR,Breeze,Six Karma,Defesa,3,13,Perdedor,1,2,Reyna,44481,Grupos,B,Opening,3,LCQ South America
Maka,Six Karma,LATAM,112,5,15,3,-10,"81,6",1,4,-3,"0,17",Gamelanders Blue,BR,Breeze,Six Karma,Defesa,3,13,Perdedor,1,2,Cypher,44481,Grupos,B,Opening,3,LCQ South America
Jonn,Gamelanders Blue,BR,363,21,10,3,11,"234,4",4,1,3,"0,24",Six Karma,LATAM,Breeze,Six Karma,Ataque,13,3,Vencedor,10,3,Jett,44481,Grupos,B,Opening,3,LCQ South America
mwzera,Gamelanders Blue,BR,244,14,9,3,5,"145,6",4,3,1,"0,2",Six Karma,LATAM,Breeze,Six Karma,Ataque,13,3,Vencedor,10,3,Reyna,44481,Grupos,B,Opening,3,LCQ South America
BELKY,Gamelanders Blue,BR,235,13,11,6,2,"159,3",2,1,1,"0,19",Six Karma,LATAM,Breeze,Six Karma,Ataque,13,3,Vencedor,10,3,Cypher,44481,Grupos,B,Opening,3,LCQ South America
Nyang,Gamelanders Blue,BR,194,14,4,3,10,"134,8",0,0,0,"0,31",Six Karma,LATAM,Breeze,Six Karma,Ataque,13,3,Vencedor,10,3,Viper,44481,Grupos,B,Opening,3,LCQ South America
CTC,Gamelanders Blue,BR,133,9,5,10,4,"85,3",0,1,-1,"0,16",Six Karma,LATAM,Breeze,Six Karma,Ataque,13,3,Vencedor,10,3,Sova,44481,Grupos,B,Opening,3,LCQ South America
liazzi,Havan Liberty,BR,270,20,9,4,11,"182,4",2,2,0,"0,25",Infinity,LATAM,Bind,Havan Liberty,Ataque,13,6,Vencedor,7,6,Raze,44481,Grupos,B,Opening,3,LCQ South America
pleets,Havan Liberty,BR,241,16,12,14,4,"162,4",1,2,-1,"0,09",Infinity,LATAM,Bind,Havan Liberty,Ataque,13,6,Vencedor,7,6,Astra,44481,Grupos,B,Opening,3,LCQ South America
krain,Havan Liberty,BR,201,13,9,9,4,115,3,0,3,"0,18",Infinity,LATAM,Bind,Havan Liberty,Ataque,13,6,Vencedor,7,6,Sova,44481,Grupos,B,Opening,3,LCQ South America
shion,Havan Liberty,BR,197,13,15,9,-2,"132,8",4,1,3,"0,13",Infinity,LATAM,Bind,Havan Liberty,Ataque,13,6,Vencedor,7,6,Skye,44481,Grupos,B,Opening,3,LCQ South America
Myssen,Havan Liberty,BR,189,14,9,7,5,"119,6",1,3,-2,"0,47",Infinity,LATAM,Bind,Havan Liberty,Ataque,13,6,Vencedor,7,6,Breach,44481,Grupos,B,Opening,3,LCQ South America
DaveeyS,Infinity,LATAM,254,16,17,3,-1,"160,2",1,1,0,"0,19",Havan Liberty,BR,Bind,Havan Liberty,Defesa,6,13,Perdedor,1,5,Raze,44481,Grupos,B,Opening,3,LCQ South America
sickLy,Infinity,LATAM,207,13,15,3,-2,"132,3",2,3,-1,"0,31",Havan Liberty,BR,Bind,Havan Liberty,Defesa,6,13,Perdedor,1,5,Viper,44481,Grupos,B,Opening,3,LCQ South America
jfoeN,Infinity,LATAM,172,10,16,5,-6,"117,5",2,3,-1,"0,2",Havan Liberty,BR,Bind,Havan Liberty,Defesa,6,13,Perdedor,1,5,Skye,44481,Grupos,B,Opening,3,LCQ South America
RAINMAKER,Infinity,LATAM,121,8,15,2,-7,"87,1",0,3,-3,"0,39",Havan Liberty,BR,Bind,Havan Liberty,Defesa,6,13,Perdedor,1,5,Sova,44481,Grupos,B,Opening,3,LCQ South America
Alejo,Infinity,LATAM,79,7,13,3,-6,"54,3",3,1,2,"0,47",Havan Liberty,BR,Bind,Havan Liberty,Defesa,6,13,Perdedor,1,5,Astra,44481,Grupos,B,Opening,3,LCQ South America
Myssen,Havan Liberty,BR,309,21,9,5,12,"214,5",2,1,1,"0,58",Infinity,LATAM,Icebox,Infinity,Ataque,13,5,Vencedor,9,4,Viper,44481,Grupos,B,Opening,3,LCQ South America
pleets,Havan Liberty,BR,275,17,15,13,2,"169,7",3,3,0,"0,16",Infinity,LATAM,Icebox,Infinity,Ataque,13,5,Vencedor,9,4,Sage,44481,Grupos,B,Opening,3,LCQ South America
krain,Havan Liberty,BR,238,19,5,6,14,"179,6",2,0,2,"0,45",Infinity,LATAM,Icebox,Infinity,Ataque,13,5,Vencedor,9,4,Sova,44481,Grupos,B,Opening,3,LCQ South America
liazzi,Havan Liberty,BR,186,12,11,6,1,"121,2",3,2,1,"0,2",Infinity,LATAM,Icebox,Infinity,Ataque,13,5,Vencedor,9,4,Jett,44481,Grupos,B,Opening,3,LCQ South America
shion,Havan Liberty,BR,179,11,13,16,-2,"118,8",1,1,0,"0,34",Infinity,LATAM,Icebox,Infinity,Ataque,13,5,Vencedor,9,4,Breach,44481,Grupos,B,Opening,3,LCQ South America
RAINMAKER,Infinity,LATAM,225,15,16,2,-1,"149,4",2,0,2,"0,27",Havan Liberty,BR,Icebox,Infinity,Defesa,5,13,Perdedor,2,3,Sova,44481,Grupos,B,Opening,3,LCQ South America
sickLy,Infinity,LATAM,203,12,14,4,-2,"200,7",3,1,2,"0,22",Havan Liberty,BR,Icebox,Infinity,Defesa,5,13,Perdedor,2,3,Viper,44481,Grupos,B,Opening,3,LCQ South America
